college_name,location
IIT Bombay - Indian Institute of Technology,Mumbai
IIT Madras - Indian Institute of Technology,Chennai
IIT Kharagpur - Indian Institute of Technology,Kharagpur
"IIM Bangalore - Indian Institute of Management, Karn...",Bangalore
IIM Calcutta - Indian Institute of Management,Kolkata
IIM Lucknow - Indian Institute of Management,Lucknow
"Indian Institute of Technology, Hyderabad",Hyderabad
"IIM Kozhikode - Indian Institute of Management, Kerala",Kozhikode
"Department of Management Studies, IIT Delhi",Delhi
IIT Varanasi - Indian Institute of Technology,Varanasi
"National Institute of Technology Karnataka, Surathkal",Mangalore
"Shailesh J. Mehta School of Management, IIT Bombay",Mumbai
"Indian Institute of Technology (ISM), Dhanbad",Dhanbad
"ICT Mumbai - Institute of Chemical Technology, Mumbai",Mumbai
Jadavpur University,Kolkata
IIT Delhi - Indian Institute of Technology,Delhi
IIM Ahmedabad - Indian Institute of Management,Ahmedabad
IIT Kanpur - Indian Institute of Technology,Kanpur
NIT Trichy - National Institute of Technology,Tiruchirappalli
"Indian Institute of Technology, Roorkee",Roorkee
"Indian Institute of Technology, Guwahati",Guwahati
IIM Indore - Indian Institute of Management,Indore
XLRI Xavier School of Management,Jamshedpur
"Vellore Institute of Technology, Vellore",Vellore
MDI Gurgaon - Management Development Institute,Gurgaon
"Indian Institute of Technology, Indore",Indore
National Institute of Industrial Engineering,Mumbai
NIT Rourkela - National Institute of Technology,Rourkela
DoMS IIT Madras - Department of Management Studies,Chennai
Anna University,Chennai
IIM Trichy - Indian Institute of Management Tiruchir...,Tiruchirappalli
IIT Kanpur - Department of Industrial and Management...,Kanpur
"IIM Udaipur - Indian Institute of Management, Udaipur",Udaipur
"NMIMS School of Business Management, Mumbai",Mumbai
"IIM Raipur - Indian Institute of Management,Chhattis...",Raipur
Great Lakes Institute of Management,Kanchipuram
IIM Rohtak - Indian Institute of Management,Rohtak
NIT Calicut - National Institute of Technology Calicut,Calicut
"ICFAI Business School (IBS), Hyderabad",Hyderabad
NLSIU Bangalore - National Law School of India Unive...,Bangalore
NLU Delhi (NLUD) - National Law University,Delhi
NLU Hyderabad - Nalsar University of Law,Hyderabad
GNLU Gandhinagar (NLU) - Gujarat National Law Univer...,Gandhinagar
NLU Lucknow (RMLNLU) - Dr. Ram Manohar Lohiya Nation...,Lucknow
KIIT School of Law (KSOL),Bhubaneswar
SPJIMR - S.P. Jain Institute of Management and Research,Mumbai
NIT Warangal - National Institute of Technology,Warangal
IIEST Shibpur - Indian Institute of Engineering Scie...,Howrah
SIBM Pune - Symbiosis Institute of Business Management,Pune
"IIM Ranchi - Indian Institute of Management, Jharkhand",Ranchi
"Amrita Vishwa Vidyapeetham, Coimbatore",Coimbatore
"Indian Institute of Technology, Bhubaneswar",Bhubaneswar
IIT Gandhinagar - Indian Institute of Technology,Gandhinagar
"Indian Institute of Technology, Ropar",Ropar
"Symbiosis Law School, Pune",Pune
NLU Jodhpur (NLUJ) - National Law University,Jodhpur
The West Bengal National University of Juridical Sci...,Kolkata
"Faculty of Law, Jamia Millia Islamia",Delhi
NLU Patiala (RGNUL) - Rajiv Gandhi National Universi...,Patiala
AMU - Aligarh Muslim University,Aligarh
Panjab University (PUCHD),Chandigarh
NLU Assam (NLUJAA) - National Law University And Jud...,Guwahati
NLIU Bhopal - The National Law Institute University,Bhopal
Indian Law Institute - ILI,Delhi
"Christian Medical College, Vellore",Vellore
Maulana Azad Medical College,Delhi
Postgraduate Institute of Medical Education and Rese...,Chandigarh
Christ University,Bangalore
MCC - Madras Christian College,Chennai
"Lady Shri Ram College for Women, University of Delhi",Delhi
Amity School of Communication,Noida
National Institute of Mental Health and Neurosciences,Bangalore
"Madras Medical College, Chennai",Chennai
"Kamala Nehru College, University of Delhi",Delhi
Vardhman Mahavir Medical College,Delhi
NLU Odisha (NLUO) - National Law University,Cuttack
BHU - Banaras Hindu University,Varanasi
AIIMS Delhi - All India Institute of Medical Sciences,Delhi
JIPMER Puducherry - Jawaharlal Institute of Postgrad...,Pondicherry
KGMU - King George's Medical University,Lucknow
Sri Ramachandra Institute of Higher Education and Re...,Chennai
St. John’s National Academy of Health Sciences,Bangalore
SIMC Pune - Symbiosis Institute of Media & Communica...,Pune
"Kasturba Medical College, Manipal",Manipal
"Indraprastha College for Women, University of Delhi",Delhi
Sanjay Gandhi Postgraduate Institute of Medical Scie...,Lucknow
Christian Medical College & Hospital Ludhiana,Ludhiana
"University College of Medical Sciences, University o...",Delhi
Institute of Mass Communication Film and Television ...,Kolkata
"JSS Medical College, Mysore",Mysore
Sophia College for Women,Mumbai
ILBS Delhi - Institute of Liver and Biliary Sciences,Delhi
"College of Engineering, Pune",Pune
SOA - Siksha 'O' Anusandhan University,Bhubaneswar
Veermata Jijabai Technological Institute - VJTI Mumbai,Mumbai
JNU - Jawaharlal Nehru University,Delhi
Pimpri Chinchwad College of Engineering,Pune
"Faculty of Management Studies, University of Delhi",Delhi
R.V. College of Engineering,Bangalore
Ramaiah Institute of Technology,Bangalore
WeSchool Mumbai - Welingkar Institute of Management,Mumbai
BMS College of Engineering,Bangalore
Netaji Subhas University of Technology,Delhi
"Pune Institute of Computer Technology, Society for C...",Pune
Manipal Institute of Technology,Manipal
Jamia Hamdard University,Delhi
GMCH Chandigarh - Government Medical College and Hos...,Chandigarh
"Dr. D.Y. Patil Vidyapeeth, Pune",Pune
VIT Pune - Vishwakarma Institute of Technology,Pune
DTU - Delhi Technological University,Delhi
D.Y. Patil College of Engineering - DYPCOE,Pune
IGNOU - Indira Gandhi National Open University,Delhi
K J Somaiya Institute of Management,Mumbai
Rajarshi Shahu College of Engineering,Pune
JBIMS - Jamnalal Bajaj Institute of Management Studies,Mumbai
BITS Pilani - Birla Institute of Technology and Science,Pilani
"SRMIST - SRM Institute of Science and Technology, Ch...",Chennai
SIMSREE - Sydenham Institute of Management Studies R...,Mumbai
Sinhgad College of Engineering - SCOE,Pune
Walchand College of Engineering,Sangli
Armed Forces Medical College,Pune
"Andhra University, Visakhapatnam",Visakhapatnam
Visvesvaraya National Institute of Technology,Nagpur
Dr. D. Y. Patil Institute Of Technology,Pune
Vishwakarma Institute of Information Technology,Pune
Dwarkadas J. Sanghvi College of Engineering,Mumbai
VIT - Vidyalankar Institute of Technology,Mumbai
PSG College of Technology - PSGCT,Coimbatore
Dayananda Sagar College Of Engineering - DSCE,Bangalore
Sardar Patel Institute of Technology,Mumbai
National Institute of Fashion Technology,Delhi
K J Somaiya Institute of Engineering and Information...,Mumbai
JSPM's Jayawantrao Sawant College of Engineering,Pune
Sardar Patel College of Engineering,Mumbai
Fergusson College,Pune
Chandigarh University (CU),Chandigarh
"Shri Ram College of Commerce, University of Delhi",Delhi
Thakur College of Engineering and Technology- TCET,Mumbai
"St. Stephen's College, University of Delhi",Delhi
IIIT Delhi - Indraprastha Institute of Information T...,Delhi
"MIT WPU - World Peace University, Pune",Pune
"TISS - Tata Institute of Social Sciences, Mumbai",Mumbai
IIIT Hyderabad - International Institute of Informat...,Hyderabad
Thapar Institute of Engineering and Technology,Patiala
Delhi University [DU],Delhi
"Department of Management Sciences, Pune University (...",Pune
Vishnu Institute of Technology (VIT Bhimavaram),Bhimavaram
IMT Ghaziabad - Institute of Management Technology,Ghaziabad
LPU - Lovely Professional University,Jalandhar
"IHM Delhi - Institute of Hotel Management, Catering ...",Pusa
MNNIT Allahabad - Motilal Nehru National Institute o...,Allahabad
Shri Ramdeobaba College of Engineering and Management,Nagpur
GIM - Goa Institute of Management,Goa
"MIT Academy of Engineering, MAEER",Pune
"Birla Institute of Technology, Mesra",Ranchi
K. J. Somaiya College of Engineering,Mumbai
N.L. Dalmia Institute of Management Studies and Rese...,Mumbai
Birla Institute of Management Technology,Greater Noida
Jamia Millia Islamia [JMI],Delhi
"National Institute of Design, Ahmedabad",Ahmedabad
Dhole Patil College of Engineering- DPCOE,Pune
Progressive Education Society's Modern College of En...,Pune
"KIIT School of Management, Kalinga Institute of Indu...",Bhubaneswar
"Rajiv Gandhi Institute of Technology, Mumbai",Mumbai
Pimpri Chinchwad College of Engineering and Research,Pune
"Government College of Engineering, Amravati",Amravati
BITS Pilani - Goa Campus,Goa
Zeal College of Engineering and Research,Pune
Vivekanand Education Society’s Institute of Technology,Mumbai
Ramrao Adik Institute of Technology,Navi Mumbai
All India Shri Shivaji Memorial Society's College of...,Pune
"BITS Pilani, Hyderabad Campus",Hyderabad
Parul University,Vadodara
"College of Engineering Guindy, Anna University",Chennai
NIT Durgapur - National Institute of Technology,Durgapur
Amity University Online,Noida
Velagapudi Ramakrishna Siddhartha Engineering College,Vijayawada
Bangalore Institute of Technology,Bangalore
PES University,Bangalore
ILS Law College,Pune
"ITM Business School, Navi Mumbai",Navi Mumbai
"University of Mumbai, Kalina Campus",Mumbai
Indian Institute of Science,Bangalore
Sree Vidyanikethan Engineering College,Tirupati
MANIT - Maulana Azad National Institute of Technology,Bhopal
"IHM Mumbai - Institute of Hotel Management, Catering...",Mumbai
"Punjab Engineering College, Chandigarh",Chandigarh
NIT Raipur - National Institute of Technology,Raipur
NIT Kurukshetra - National Institute of Technology,Kurukshetra
"Hansraj College, University of Delhi",Delhi
The Oxford College of Science,Bangalore
University of Mumbai,Mumbai
SCDL Pune - Symbiosis Centre for Distance Learning,Pune
"Sardar Vallabhbhai National Institute of Technology,...",Surat
"JSS Academy of Technical Education, JSS Mahavidyapee...",Noida
Reva University,Bangalore
SSN College of Engineering,Chennai
Gayatri Vidya Parishad College of Engineering,Visakhapatnam
"College of Engineering, Bharati Vidyapeeth",Pune
CBIT Hyderabad - Chaitanya Bharathi Institute of Tec...,Hyderabad
Terna Engineering College,Navi Mumbai
"University of Madras, Institute of Distance Education",Chennai
"ISB&M - International School of Business and Media, ...",Pune
"Indian Institute of Information Technology, Pune",Pune
"College of Engineering, Sri Venkateswara University",Tirupati
Shaheed Sukhdev College of Business Studies,Delhi
NIT Jamshedpur - National Institute of Technology,Jamshedpur
"Alliance School of Business, Alliance University",Bangalore
TSEC Mumbai - Thadomal Shahani Engineering College,Mumbai
SDA Bocconi Asia Center,Mumbai
Government Law College,Mumbai
IIFT Delhi - Indian Institute of Foreign Trade,Delhi
NIT Hamirpur - National Institute of Technology,Hamirpur
MNIT Jaipur - Malaviya National Institute of Technology,Jaipur
NHCE Bangalore - New Horizon College of Engineering,Bangalore
Pillai College of Engineering,Mumbai
RNS Institute of Technology,Bangalore
Madras Institute of Technology,Chennai
NIT Patna - National Institute of Technology,Patna
"Institute of Medical Sciences, BHU",Varanasi
IIIT Allahabad - Indian Institute of Information Tec...,Allahabad
"NMIMS Global Access School for Continuing Education,...",Mumbai
"Government Medical College, Nagpur",Nagpur
"University Visvesvaraya College of Engineering, Bang...",Bangalore
"JIMS Rohini, Sector-5 - Jagan Institute of Managemen...",Delhi
Pune Vidyarthi Griha’s College of Engineering and Te...,Pune
Grant Medical College,Mumbai
"G.H. Raisoni College of Engineering, Nagpur",Nagpur
NITTE Meenakshi Institute of Technology - NMIT,Bangalore
SIIB Pune - Symbiosis Institute of International Bus...,Pune
"Government Polytechnic, Mumbai",Mumbai
"Hindu College, University of Delhi",Delhi
"St. Xavier's College, Mumbai",Mumbai
"MIT Institute of Design, MIT ADTU",Pune
"National Institute of Technology, Agartala",Agartala
K. K. Wagh Institute of Engineering Education and Re...,Nashik
NIT Jalandhar - Dr. B. R. Ambedkar National Institut...,Jalandhar
Woxsen University,Hyderabad
IIIT Pune - International Institute of Information T...,Pune
Bharati Vidyapeeth College of Engineering - BVCOE,Navi Mumbai
IPE Hyderabad - Institute of Public Enterprise,Hyderabad
Indira Institute of Management - IIMP,Pune
"National Institute of Technology, Andhra Pradesh",Tadepalligudem
The National Institute of Engineering,Mysore
"CMR Institute of Technology, Bangalore",Bangalore
Siddaganga Institute of Technology,Tumkur
PSG Institute of Management,Coimbatore
New Delhi YMCA,Delhi
"Yeshwantrao Chavan College of Engineering, Nagar Yuw...",Nagpur
"Cummins College of Engineering for Women, Pune",Pune
IIIT Jabalpur - Indian Institute of Information Tech...,Jabalpur
SPA Delhi - School of Planning and Architecture,Delhi
SRKR Engineering College,Andhra Pradesh
"NIT Delhi - National Institute of Technology, Delhi",Delhi
Dr. D.Y. Patil Institute of Engineering Management a...,Pune
G.L. Bajaj Institute of Technology and Management,Greater Noida
"National Institute of Technology, Srinagar",Srinagar
NDA - National Defence Academy,Pune
Shri Guru Gobind Singhji Institute of Engineering an...,Nanded
SASTRA (Deemed to be University),Thanjavur
IIMC - Indian Institute of Mass Communication,Delhi
VIT Business School - Vellore Institute of Technolog...,Vellore
Sir M. Visvesvaraya Institute of Technology,Bangalore
"University Business School, Chandigarh - Panjab Univ...",Chandigarh
M.S. Ramaiah Medical College,Bangalore
SIES College of Management Studies,Mumbai
"Government College of Engineering, Karad",Satara
"Amity University, Noida",Noida
VNR Vignana Jyothi Institute of Engineering and Tech...,Hyderabad
Heritage Institute of Technology,Kolkata
"Presidency University, Bangalore",Bangalore
"Indian School of Business, Hyderabad",Hyderabad
Fr. Conceicao Rodrigues College of Engineering,Mumbai
"JNTUA College of Engineering, Ananthapuramu - Jawaha...",Anantapur
"Government College of Engineering, Aurangabad",Aurangabad
"GITAM Institute of Technology, Visakhapatnam",Visakhapatnam
New Delhi Institute of Management,Delhi
LIBA - Loyola Institute of Business Administration,Chennai
UoH - University of Hyderabad,Hyderabad
"Dr. Ambedkar Institute Of Technology (AIT), Bangalore",Bangalore
BMS Institute of Technology and Management,Bangalore
MGM's College of Engineering and Technology,Navi Mumbai
NIT Silchar - National Institute of Technology,Silchar
UPRTOU - U P Rajarshi Tandon Open University,Allahabad
Indian Institute for Aeronautical Engineering and In...,Nashik
Datta Meghe College of Engineering,Navi Mumbai
"Poona College of Pharmacy, Bharati Vidyapeeth",Pune
VGSOM IIT Kharagpur - Vinod Gupta School of Management,Kharagpur
Pune Institute of Business Management,Pune
Indian Institute of Counselling,Delhi
Chennai Institute of Technology,Chennai
MSU - The Maharaja Sayajirao University of Baroda,Vadodara
Delhi School of Economics,Delhi
Symbiosis Institute of Technology,Pune
UNIPUNE - Savitribai Phule Pune University (SPPU),Pune
Shri G. S. Institute of Technology and Science,Indore
"Institute of Technology, Nirma University",Ahmedabad
"Xavier Institute of Management, Xavier University Bh...",Bhubaneswar
"Balaji Institute of Modern Management (BIMM), Sri Ba...",Pune
Bangalore Medical College and Research Institute,Bangalore
T.A. Pai Management Institute (TAPMI),Manipal
"National Institute of Fashion Technology, Mumbai",Navi Mumbai
BK School of Business Management,Ahmedabad
G. Pulla Reddy Engineering College,Kurnool
Indira Gandhi Institute of Physical Education and Sp...,Delhi
SIES Graduate School of Technology,Mumbai
Saraswati College of Engineering,Navi Mumbai
XIME Bangalore - Xavier Institute of Management and ...,Bangalore
RVR and JC College of Engineering,Guntur
"University College of Engineering, Osmania University",Hyderabad
IIST - Indian Institute of Space Science and Technology,Thiruvananthapuram
ISBR Business School,Bangalore
"Institute of Forensic Science, Mumbai",Mumbai
"Narsee Monjee College of Commerce & Economics, Mumbai",Mumbai
St. Francis Institute of Technology,Mumbai
AIT - Army Institute of Technology,Pune
SCMS Pune - Symbiosis Centre for Management Studies,Pune
FORE School of Management,Delhi
RIIM - Arihant Group of Institutes,Pune
Tolani Maritime Institute- TMI,Pune
AIT - Acharya Institute of Technology,Bangalore
L D College of Engineering,Ahmedabad
SRM Medical College Hospital and Research Centre,Chennai
Jagdish Sheth School of Management (Formerly IFIM Bu...,Bangalore
"CMS Business School, Jain (Deemed-to-be University)",Bangalore
Lady Hardinge Medical College,Delhi
Institute of Aeronautical Engineering,Hyderabad
Indian Board of Alternative Medicines,Kolkata
SCMHRD Pune - Symbiosis Centre for Management & Huma...,Pune
Pondicherry Engineering College - PEC,Pondicherry
"National Institute of Fashion Technology, Bangalore",Bangalore
Gujarat University,Ahmedabad
Loyola College,Chennai
"Presidency University, Kolkata",Kolkata
Maharaja Agrasen Institute of Technology,Delhi
National Institute of Bank Management (NIBM),Pune
Vignan's Institute of Information Technology,Visakhapatnam
CUSAT - Cochin University of Science and Technology,Kochi
PES University- Electronic City Campus,Bangalore
Sri Jayachamarajendra College of Engineering (SJCE M...,Mysore
"Institute of Management Studies, BHU",Varanasi
"Delhi School of Management, DTU",Delhi
"Centre for Distance and Open Learning, Jamia Millia ...",Delhi
Institute of Engineering and Management,Kolkata
IMI Delhi - International Management Institute,Delhi
"Atharva College of Engineering, The Atharva Educatio...",Mumbai
The LNM Institute of Information Technology,Jaipur
Osmania Medical College,Hyderabad
Government College of Pharmacy,Maharashtra
"Amity University, Mumbai",Mumbai
"Vellore Institute of Technology, Chennai, VIT Univer...",Chennai
"KIT College of Engineering, Kolhapur",Kolhapur
SIBM Bengaluru - Symbiosis Institute of Business Man...,Bangalore
Lokmanya Tilak Municipal Medical College,Mumbai
Seth Gordhandas Sunderdas Medical College and KEM Ho...,Mumbai
IIIT Lucknow - Indian Institute of Information Techn...,Lucknow
Sathyabama Institute of Science and Technology,Chennai
Pondicherry University,Pondicherry
Rajalakshmi Engineering College,Chennai
National Insurance Academy- NIA,Pune
KLE Technological University,Hubli
"Amrita School of Engineering, Coimbatore",Coimbatore
Xavier Institute of Management and Research,Mumbai
"NMIMS Anil Surendra Modi School of Commerce, Mumbai",Mumbai
MICA,Ahmedabad
"Dr. Ambedkar Government Law College, Chennai",Chennai
"Directorate of Distance Education, University of Jammu",Jammu
IIITDM Chennai - Indian Institute of Information Tec...,Kanchipuram
Fr. C. Rodrigues Institute of Technology,Navi Mumbai
IIIT Bhubaneswar - International Institute of Inform...,Bhubaneswar
Kumaraguru College of Technology - KCT,Coimbatore
Calcutta University,Kolkata
"University College of Engineering, Kakinada, Jawahar...",Kakinada
Sir J.J College of Architecture,Mumbai
Badruka College Post Graduate Center,Hyderabad
Lavonne Academy of Baking Science and Pastry Arts,Bangalore
"Mithibai College of Arts, Chauhan Institute of Scien...",Mumbai
"Mbitious Institute of Professional Studies, Saket",Delhi
"Institute of Engineering and Technology (IET), Dr. A...",Lucknow
MET Institute of Management,Mumbai
M.V.J. College of Engineering - MVJCE,Bangalore
Marathwada Mitra Mandal's College of Engineering,Pune
"Institute of Hotel Management, Bangalore",Bangalore
"Miranda House, University of Delhi",Delhi
SIBM Nagpur - Symbiosis Institute of Business Manage...,Nagpur
"Amity Business School (ABS), Noida",Noida
Soil Institute of Management,Gurgaon
DSU - Dayananda Sagar University,Bangalore
BV Raju Institute of Technology,Hyderabad
"School of Commerce and Management, Christ University",Bangalore
Rizvi College of Engineering,Mumbai
IIT Mandi - Indian Institute of Technology,Mandi
"Amity School of Engineering and Technology, Noida",Noida
M.S. Ramaiah University of Applied Sciences (MSRUAS),Bangalore
Film and Television Institute of India (FTII),Pune
Osmania University College for Women,Hyderabad
HBTU Kanpur - Harcourt Butler Technical University,Kanpur
The Bombay Flying Club's College of Aviation,Mumbai
KIIT School of Engineering,Bhubaneswar
Universal Business School,Mumbai
Anil Neerukonda Institute of Technology and Sciences,Visakhapatnam
"Manipal College of Health Professions, Manipal",Manipal
"Ramjas College, University of Delhi",Delhi
Gokaraju Rangaraju Institute of Engineering and Tech...,Hyderabad
Prestige Institute of Management and Research (PG Ca...,Indore
Smt. Kashibai Navale College of Engineering,Pune
SP Jain School of Global Management,Mumbai
Arena Animation,Mumbai
"Indian Institute of Technology, Jodhpur",Jodhpur
NSOU - Netaji Subhas Open Univesity,Kolkata
"SRM School of Management,SRMIST - SRM Institute of S...",Chennai
"New Law College, Bharati Vidyapeeth",Pune
Byramjee Jeejeebhoy Government Medical College and S...,Pune
"Amrita School of Engineering, Amritapuri",Amritapuri
"Srishti Institute of Art, Design and Technology",Bangalore
"ICFAI Business School (IBS), Mumbai",Mumbai
Gujarat Forensic Sciences University,Gandhinagar
IISWBM - Indian Institute of Social Welfare and Busi...,Kolkata
DMIMSU - Datta Meghe Institute of Medical Sciences,Wardha
IMT Nagpur - Institute of Management Technology,Nagpur
Doon Business School,Dehradun
"ISAS International Beauty School, Pune",Pune
