college_name,location
IGNOU Ahmedabad Regional Centre,Ahmedabad
GNIOT Group of Institutions,Greater Noida
All India Shri Shivaji Memorial Society's Institute ...,Pune
GGSIPU - Guru Gobind Singh Indraprastha University,Delhi
Presidency College,Bangalore
SCIT Pune - Symbiosis Centre For Information Technology,Pune
IMT Hyderabad - Institute of Management Technology,Hyderabad
Symbiosis Skills and Professional University,Pune
NIET - Noida Institute of Engineering and Technology,Greater Noida
Thiagarajar School of Management,Madurai
"University Institute of Engineering and Technology, ...",Chandigarh
Coimbatore Institute of Technology,Coimbatore
St. Xavier's College Kolkata,Kolkata
Vidyavardhini's College of Engineering and Technology,Mumbai
Institute of Distance and Open Learning - University...,Mumbai
Modern Education Society's College of Engineering,Pune
Acharya N. G. Ranga Agricultural University (ANGRAU),Hyderabad
BVRIT Hyderabad College of Engineering for Women,Hyderabad
"Bharati Vidyapeeth College of Engineering, Lavale",Pune
NSB Academy,Bangalore
RV Institute of Management,Bangalore
Government Polytechnic Pune,Pune
Zakir Husain College of Engineering and Technology,Aligarh
Indian Institute of Aesthetic Medicine,Pune
"SGT University, Gurgaon",Gurgaon
"Great Lakes Institute of Management, Gurgaon",Gurgaon
"School of Open Learning, University of Delhi",Delhi
"MIT School of Engineering, MIT-ADT University",Pune
B.N.M Institute of Technology,Bangalore
NIT Goa - National Institute of Technology,Ponda
"SHUATS - Sam Higginbottom University of Agriculture,...",Allahabad
"Shivaji University, Kolhapur",Kolhapur
"Department of Humanities and Social Sciences, Christ...",Bangalore
"Maharshi Valmiki College of Education, University of...",Delhi
"Don Bosco Institute of Technology, Mumbai",Mumbai
Dr. D.Y. Patil College of Pharmacy,Pune
Dayananda Sagar Academy Of Technology And Management...,Bangalore
"Faculty of Engineering and Technology, M.S. Ramaiah ...",Bangalore
M.H. Saboo Siddik College of Engineering,Mumbai
SNIST - Sreenidhi Institute of Science and Technology,Hyderabad
NMIMS Mukesh Patel School of Technology Management a...,Mumbai
Narayana Business School,Ahmedabad
Birsa Institute of Technology - BIT Sindri,Dhanbad
Mount Carmel College,Bangalore
PSG College of Arts and Science - PSGCAS,Coimbatore
Dr. D.Y. Patil Institute Of Engineering And Technolo...,Pune
IGDTUW - Indira Gandhi Delhi Technical University Fo...,Delhi
Lucknow University,Lucknow
SIHS Pune - Symbiosis Institute of Health Sciences,Pune
IIIT Gandhinagar: Indian Institute of Information Te...,Gandhinagar
Govind Ballabh Pant University of Agriculture and Te...,Uttarakhand
ICEM - Indira College of Engineering and Management,Pune
SIBM Hyderabad - Symbiosis Institute of Business Man...,Hyderabad
Jaipuria Noida - Jaipuria Institute of Management,Noida
Ajay Kumar Garg Engineering College,Ghaziabad
JSS Academy of Technical Education,Bangalore
JSPM’s Bhivarabai Sawant Institute of Technology and...,Pune
"Karnataka State Open University, Bangalore",Bangalore
IIIT Nagpur - Indian Institute of Information Techno...,Nagpur
"School of Management, BML Munjal University",Gurgaon
Hindustan Institute of Technology and Science,Chennai
SSN School of Management,Chennai
Praveenya Institute of Marine Engineering,Vizianagaram
"UID - Unitedworld Institute of Design, Karnavati Uni...",Ahmedabad
"University College of Engineering, Vizianagaram, Jaw...",Vizianagaram
FLAME University,Pune
Symbiosis Institute of Management Studies,Pune
MDU Rohtak - Maharshi Dayanand University,Rohtak
"Government College of Engineering and Research, Avasari",Pune
"JNTUH College of Engineering, Hyderabad",Hyderabad
"NMIMS University, Hyderabad",Hyderabad
KIET Group of Institutions (KIET),Ghaziabad
Allahabad University - Faculty of Law,Allahabad
St. Joseph's College of Commerce,Bangalore
"Chandigarh Group of Colleges (CGC), Landran",Chandigarh
Narhe Technical Campus,Pune
Maulana Azad Institute of Dental Sciences,Delhi
"NMIMS University, Navi Mumbai",Mumbai
"Directorate of Distance Education, Kurukshetra Unive...",Kurukshetra
"University College of Engineering, Narasaraopet, Jaw...",Guntur
Laxminarayan Institute of Technology,Nagpur
Professor Jayashankar Telangana State Agricultural U...,Hyderabad
"College of Arts, University of Delhi",Delhi
Shiv Nadar University (SNU),Greater Noida
"Faculty of Management Studies, Baroda (FMS, Baroda)",Vadodara
WeSchool Bangalore - Welingkar Institute of Management,Bangalore
"IFMR Graduate school of Business, KREA University (I...",Andhra Pradesh
Dhirubhai Ambani Institute of Information and Commun...,Gandhinagar
SJC Bangalore - St. Joseph's College,Bangalore
IIIT Surat - Indian Institute of Information Technology,Surat
ICE Balaji Telefilms - Institute of Creative Excellence,Mumbai
Raj Kumari Amrit Kaur College of Nursing,Delhi
MLR Institute of Technology,Hyderabad
Universal College of Engineering,Mumbai
SPA Vijayawada - School of Planning and Architecture,Vijayawada
A. P. Shah Institute of Technology,Thane
DY Patil School of Engineering - DYPSOE,Pune
SIDTM Pune - Symbiosis Institute of Digital & Teleco...,Pune
Mahavir Education Trust's Shah and Anchor Kutchhi En...,Mumbai
VMOU - Vardhman Mahaveer Open University,Kota
Integral University - IUL,Lucknow
"NMIMS School of Management, Bengaluru",Bangalore
"Campus Law Centre, University of Delhi",Delhi
"Institute of Management, Nirma University",Ahmedabad
Bangalore University,Bangalore
Global Academy of Technology,Bangalore
"Maharaja's College, University of Mysore",Mysore
"G H Raisoni College of Engineering and Management, Pune",Pune
Pt. Bhagwat Dayal Sharma Post Graduate Institute of ...,Rohtak
GMR Institute of Technology - GMRIT,Andhra Pradesh
Lokmanya Tilak College of Engineering,Mumbai
"Cambridge Institute of Technology, K R Puram",Bangalore
"J. C. Bose University of Science and Technology, YMCA",Faridabad
"Faculty of Engineering, Christ University",Bangalore
"Division of Biological Sciences, Indian Institute of...",Bangalore
Vishwa Vishwani School of Business,Hyderabad
"Manipal University, Jaipur",Jaipur
IIIT Bhagalpur - Indian Institute of Information Tec...,Bhagalpur
Padmabhushan Vasantdada Patil Pratishthan College of...,Mumbai
"St Xavier's University, Kolkata",Kolkata
Rabindra Bharati University - RBU,Kolkata
CEPT University,Ahmedabad
CHRIST (Deemed to be University) - Delhi NCR Campus,Ghaziabad
"GITAM School of Technology, Hyderabad",Hyderabad
ICSI Delhi - Institute of Company Secretaries of India,Delhi
Galgotias University,Greater Noida
"KL College of Engineering, KL University",Guntur
"Shaheed Bhagat Singh College, University of Delhi",Delhi
"Daulat Ram College, University of Delhi",Delhi
"Government College of Engineering, Nagpur",Nagpur
IIIT Una - Indian Institute of Information Technolog...,Una
Tezpur University - TEZU,Tezpur
"Symbiosis Institute of Design, Pune",Pune
Vivekanandha Institute of Health Science and Researc...,Namakkal
Calicut University,Calicut
"Dr. B.R. Ambedkar Open University (BRAOU), Hyderabad",Hyderabad
JIIT - Jaypee Institute of Information Technology,Noida
Dr. D. Y. Patil Dental College and Hospital,Pune
St. Joseph's Institute of Management,Bangalore
"College of Engineering and Technology, Biju Patnaik ...",Bhubaneswar
Lok Nayak Jayaprakash Narayan National Institute of ...,Delhi
Rajarambapu Institute of Technology,Kolhapur
NIMS - Nizam's Institute of Medical Sciences,Hyderabad
IIIT Dharwad: Indian Institute of Information Techno...,Dharwad
SIOM - Sinhgad Institute of Management,Pune
IIFT Kolkata - Indian Institute of Foreign Trade,Kolkata
Institute of Management and Entrepreneurship Develop...,Pune
"NSD - National School of Drama, Delhi",Delhi
"Faculty of Engineering and Technology, Jain (Deemed-...",Bangalore
JIMS Kalkaji - Jagannath International Management Sc...,Delhi
IIIT Ranchi - Indian Institute of Information Techno...,Ranchi
"IHM Kolkata - Institute of Hotel Management, Caterin...",Kolkata
Institute of Post Graduate Medical Education and Res...,Kolkata
"Symbiosis Medical College for Women, Symbiosis Inter...",Pune
KIIT School of Rural Management,Bhubaneswar
Maharaja Surajmal Institute of Technology,Delhi
IIIT Kottayam - Indian Institute of Information Tech...,Kottayam
"School of Law, Christ University",Bangalore
